dataset,model,region_id,region_name,average_score,embedding_count
hcp,region_elasticnet,53,17Networks_RH_VisCent_ExStr_3,0.06441558441558441,5
hcp,region_elasticnet,5,17Networks_LH_VisPeri_ExStrInf_1,0.06831168831168831,5
hcp,region_elasticnet,52,17Networks_RH_VisCent_ExStr_2,0.06838311688311688,5
hcp,region_elasticnet,89,17Networks_RH_DefaultA_IPL_1,0.06914285714285714,5
hcp,region_elasticnet,88,17Networks_RH_ContC_pCun_1,0.07247402597402597,5
hcp,region_elasticnet,32,17Networks_LH_ContA_PFCl_1,0.07935714285714286,5
hcp,region_elasticnet,31,17Networks_LH_ContA_IPS_1,0.08535714285714285,5
hcp,region_elasticnet,69,17Networks_RH_DorsAttnB_PostC_2,0.08535714285714285,5
hcp,region_elasticnet,50,17Networks_LH_TempPar_1,0.08841558441558442,5
hcp,region_elasticnet,14,17Networks_LH_DorsAttnA_TempOcc_1,0.09045454545454545,5
hcp,region_elasticnet,56,17Networks_RH_VisPeri_ExStrSup_1,0.09581168831168832,5
hcp,region_elasticnet,84,17Networks_RH_ContB_IPL_1,0.10051948051948052,5
hcp,region_elasticnet,64,17Networks_RH_SomMotB_Cent_1,0.1014935064935065,5
hcp,region_elasticnet,29,17Networks_LH_LimbicA_TempPole_1,0.1037012987012987,5
hcp,region_elasticnet,67,17Networks_RH_DorsAttnA_SPL_1,0.10496753246753247,5
hcp,region_elasticnet,55,17Networks_RH_VisPeri_ExStrInf_1,0.11035714285714286,5
hcp,region_elasticnet,2,17Networks_LH_VisCent_ExStr_2,0.11113636363636363,5
hcp,region_elasticnet,87,17Networks_RH_ContC_Cingp_1,0.11285714285714285,5
hcp,region_elasticnet,19,17Networks_LH_DorsAttnB_PostC_3,0.1200974025974026,5
hcp,region_elasticnet,4,17Networks_LH_VisCent_ExStr_3,0.12018181818181817,5
hcp,region_elasticnet,44,17Networks_LH_DefaultB_PFCd_1,0.12176623376623377,5
hcp,region_elasticnet,16,17Networks_LH_DorsAttnA_SPL_1,0.12194805194805194,5
hcp,region_elasticnet,38,17Networks_LH_DefaultA_PFCd_1,0.12571428571428572,5
hcp,region_elasticnet,58,17Networks_RH_SomMotA_2,0.13444805194805193,5
hcp,region_elasticnet,80,17Networks_RH_ContA_IPS_1,0.1480194805194805,5
hcp,region_elasticnet,28,17Networks_LH_LimbicB_OFC_1,0.1514285714285714,5
hcp,region_elasticnet,79,17Networks_RH_LimbicA_TempPole_1,0.1556818181818182,5
hcp,region_elasticnet,10,17Networks_LH_SomMotB_Aud_1,0.16259740259740257,5
hcp,region_elasticnet,45,17Networks_LH_DefaultB_PFCl_1,0.16571428571428573,5
hcp,region_elasticnet,22,17Networks_LH_SalVentAttnA_Ins_1,0.17753246753246754,5
hcp,region_elasticnet,93,17Networks_RH_DefaultB_PFCd_1,0.1799025974025974,5
hcp,region_elasticnet,6,17Networks_LH_VisPeri_StriCal_1,0.18155844155844153,5
hcp,region_elasticnet,100,17Networks_RH_TempPar_3,0.19116883116883115,5
hcp,region_elasticnet,9,17Networks_LH_SomMotA_2,0.20033766233766234,5
hcp,region_elasticnet,78,17Networks_RH_LimbicB_OFC_1,0.2569480519480519,5
hcp,region_elasticnet,60,17Networks_RH_SomMotA_4,0.2580844155844156,5
hcp,region_elasticnet,68,17Networks_RH_DorsAttnB_PostC_1,0.25957142857142856,5
hcp,region_elasticnet,43,17Networks_LH_DefaultB_IPL_1,0.33306493506493506,5
hcp,region_elasticnet,35,17Networks_LH_ContC_pCun_1,0.3763116883116883,5
hcp,region_elasticnet,72,17Networks_RH_SalVentAttnA_Ins_1,0.38137012987012986,5
hcp,region_elasticnet,34,17Networks_LH_ContB_PFClv_1,0.44516233766233765,5
hcp,region_elasticnet,94,17Networks_RH_DefaultB_PFCv_1,0.46564285714285714,5
hcp,region_elasticnet,47,17Networks_LH_DefaultB_PFCv_2,0.5572272727272727,5
hcp,region_elasticnet,97,17Networks_RH_DefaultC_PHC_1,0.5595,5
hcp,region_elasticnet,59,17Networks_RH_SomMotA_3,0.5822987012987013,5
hcp,region_elasticnet,49,17Networks_LH_DefaultC_PHC_1,0.6307857142857143,5
hcp,region_elasticnet,40,17Networks_LH_DefaultA_PFCm_1,0.6489415584415584,5
hcp,region_group_lasso,62,17Networks_RH_SomMotB_S2_1,0.005,5
hcp,region_group_lasso,30,17Networks_LH_LimbicA_TempPole_2,0.01,5
hcp,region_group_lasso,48,17Networks_LH_DefaultC_Rsp_1,0.01,5
hcp,region_group_lasso,18,17Networks_LH_DorsAttnB_PostC_2,0.010714285714285714,5
hcp,region_group_lasso,55,17Networks_RH_VisPeri_ExStrInf_1,0.010714285714285714,5
hcp,region_group_lasso,99,17Networks_RH_TempPar_2,0.010714285714285714,5
hcp,region_group_lasso,91,17Networks_RH_DefaultA_pCunPCC_1,0.011428571428571429,5
hcp,region_group_lasso,7,17Networks_LH_VisPeri_ExStrSup_1,0.015714285714285715,5
